pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBR19253,15,0,2010,ASHOK KUMAR YADAV,Bihar,KEOTI,BJP,BJP,45791,M,1,6,FALSE,TRUE,42.11,29,0.03,40,3,6
AEBR19253,16,0,2015,ASHOK KUMAR YADAV,Bihar,KEOTI,BJP,BJP,60771,M,2,6,FALSE,TRUE,41.76,57258,39.35,45,3,6
AEBR1941,16,0,2015,SHIVCHANDRA RAM,Bihar,RAJA PAKAR,RJD,,61251,M,1,1,FALSE,FALSE,45.45,15155,11.24,44,1,1
AEBR1942,16,0,2015,RAM NATH RAMAN,Bihar,RAJA PAKAR,LJP,,46096,M,2,1,FALSE,FALSE,34.2,41588,30.86,50,,1
AEBR1959,16,0,2015,TEJASHWI PRASAD YADAV,Bihar,RAGHOPUR,RJD,,91236,M,1,1,FALSE,FALSE,49.15,22733,12.25,26,1,1
AEBR1963,16,0,2015,RAMBABU BHAGAT,Bihar,RAGHOPUR,CPI(ML)(L),,2538,M,5,1,FALSE,FALSE,1.37,157,0.08,67,,1
AEBR19752,11,0,1995,BIJENDRA PRASAD YADAV,Bihar,SUPAUL,JD,,51417,M,1,6,FALSE,FALSE,42.27,13701,11.26,,6,6
AEBR19752,12,0,2000,BIJENDRA PD. YADAV,Bihar,SUPAUL,JD(U),JD,34321,M,1,6,TRUE,TRUE,28.55,2448,2.04,,6,6
AEBR19752,13,0,2005,BIJENDRA PRASAD YADAV,Bihar,SUPAUL,JD(U),JD(U),35498,M,1,6,FALSE,TRUE,32.2,2078,1.88,58,6,6
AEBR19752,14,0,2005,BIJENDRA PRASAD YADAV,Bihar,SUPAUL,JD(U),JD(U),48457,M,1,6,FALSE,TRUE,47.28,12235,11.94,59,6,6
AEBR19752,15,0,2010,BIJENDRA PRASAD YADAV,Bihar,SUPAUL,JD(U),JD(U),55179,M,1,6,FALSE,TRUE,45.47,15400,12.69,64,6,6
AEBR19752,16,0,2015,BIJENDRA PRASAD YADAV,Bihar,SUPAUL,JD(U),JD(U),82295,M,1,6,FALSE,TRUE,54.69,37397,24.85,69,6,6
AEBR19876,11,0,1995,ABDUL GAFOOR,Bihar,MAHISHI,JD,,46715,M,1,5,FALSE,FALSE,41.08,15090,13.27,,4,5
AEBR19876,12,0,2000,ABDUL GHAFOOR,Bihar,MAHISHI,RJD,JD,49431,M,1,5,TRUE,TRUE,36.28,17824,13.08,,4,5
AEBR19876,13,0,2005,DR. ABDUL GHAFOOR,Bihar,MAHISHI,RJD,RJD,25489,M,2,5,FALSE,TRUE,25.02,3130,3.07,45,4,5
AEBR19876,15,0,2010,DR ABDUL GAFOOR,Bihar,MAHISHI,RJD,RJD,39158,M,1,5,FALSE,FALSE,33.39,1717,1.46,51,4,5
AEBR19876,16,0,2015,DR. ABDUL GHAFOOR,Bihar,MAHISHI,RJD,RJD,56436,M,1,5,FALSE,TRUE,38.77,26135,17.95,56,4,5
AEBR19980,11,0,1995,NARENDRA NR. YADAV,Bihar,ALAMNAGAR,JD,,31334,M,1,6,FALSE,FALSE,31.57,9400,9.47,,6,6
AEBR19980,12,0,2000,NARENDRA NR. YADAV,Bihar,ALAMNAGAR,JD(U),JD,35690,M,1,6,TRUE,TRUE,33.94,1713,1.63,,6,6
AEBR19980,13,0,2005,NARENDRA NR. YADAV,Bihar,ALAMNAGAR,JD(U),JD(U),24808,M,1,6,FALSE,TRUE,25.38,10451,10.69,53,6,6
AEBR19980,14,0,2005,NARENDRA NR. YADAV,Bihar,ALAMNAGAR,JD(U),JD(U),39676,M,1,6,FALSE,TRUE,45.67,10087,11.61,53,6,6
AEBR19980,15,0,2010,NARENDRA N. YADAV,Bihar,ALAMNAGAR,JD(U),JD(U),64967,M,1,6,FALSE,TRUE,42.16,42345,27.48,59,6,6
AEBR19980,16,0,2015,NARENDRA NARAYAN YADAV,Bihar,ALAMNAGAR,JD(U),JD(U),87962,M,1,6,FALSE,TRUE,45.74,43876,22.82,64,6,6
AEBR2017,16,0,2015,RAJESH PASWAN,Bihar,PATEPUR,CPI(ML)(L),,725,M,13,1,FALSE,FALSE,0.49,98,0.07,37,,1
AEBR20235,11,0,1995,AWADH BIHARI SINGH,Bihar,BAHADURGANJ,BJP,,30712,M,1,4,FALSE,FALSE,26.98,779,0.68,,1,4
AEBR20235,12,0,2000,AWADH BIHARI SINGH,Bihar,BAHADURGANJ,BJP,BJP,30575,M,2,4,FALSE,TRUE,28.36,15999,14.84,,1,4
AEBR20235,13,0,2005,AWADHBIHARI SINGH,Bihar,BAHADURGANJ,IND,BJP,13562,M,3,4,FALSE,FALSE,12.86,9132,8.66,54,1,4
AEBR20235,16,0,2015,AWADH BIHARI SINGH,Bihar,BAHADURGANJ,BJP,IND,39591,M,2,4,FALSE,FALSE,24.82,5953,3.73,64,1,4
AEBR2027,16,0,2015,MAHESHWAR HAZARI,Bihar,KALYANPUR(SC),JD(U),,84904,M,1,1,FALSE,FALSE,50.4,37686,22.37,44,1,1
