pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEWB108932,12,0,1996,GOBARDHAN KARMAKAR,West_Bengal,HARIPAL,BJP,,3110,M,3,1,0,FALSE,FALSE,2.57,2555,2.11,,1
AEWB108936,12,0,1996,AJIT KUMAR GHOSH,West_Bengal,TARAKESWAR,INC,,48608,M,2,1,0,FALSE,FALSE,39.83,45300,37.12,,1
AEWB108937,12,0,1996,SUKUMAR KHANRA,West_Bengal,TARAKESWAR,BJP,,3308,M,3,1,0,FALSE,FALSE,2.71,0,0,,1
AEWB108939,11,0,1991,TAPAN DASGUPTA,West_Bengal,CHINSURAH,INC,,48059,M,2,2,0,FALSE,FALSE,41.62,32969,28.55,,2
AEWB108939,12,0,1996,TAPAN DASGUPTA,West_Bengal,CHINSURAH,INC,INC,66998,M,2,2,0,FALSE,FALSE,46.32,60077,41.53,,2
AEWB108940,11,0,1991,BIMALENDU CHAKRABORTY,West_Bengal,CHINSURAH,BJP,,15090,M,3,2,0,FALSE,FALSE,13.07,14129,12.24,,2
AEWB108940,12,0,1996,BIMALENDU CHAKRABORTY,West_Bengal,CHINSURAH,BJP,BJP,6921,M,3,2,0,FALSE,FALSE,4.78,5745,3.97,,2
AEWB108947,10,0,1987,ROBIN MUKHERJEE,West_Bengal,BANSBERIA,INC,,43404,M,2,3,1,FALSE,FALSE,46.66,42218,45.39,,3
AEWB108947,11,0,1991,ROBIN MUKHERJEE,West_Bengal,BANSBERIA,INC,INC,50419,M,2,3,1,FALSE,FALSE,46.19,44319,40.6,,3
AEWB108947,12,0,1996,ROBIN MUKHERJEE,West_Bengal,BANSBERIA,INC,INC,62528,M,1,3,1,FALSE,FALSE,49.25,3247,2.56,,3
AEWB108957,11,0,1991,MALIK BISWANATH,West_Bengal,BALAGARH,INC,,38302,M,2,2,0,FALSE,FALSE,34.79,23408,21.26,,2
AEWB108957,12,0,1996,BISWANATH MALIK,West_Bengal,BALAGARH,INC,INC,51231,M,2,2,0,FALSE,FALSE,40.49,43610,34.47,,2
AEWB108961,12,0,1996,MADHUSUDAN BANERJEE,West_Bengal,PANDUA,INC,,52801,M,2,1,0,FALSE,FALSE,37.11,45487,31.97,,1
AEWB108962,11,0,1991,BIDURPRA MANIK,West_Bengal,PANDUA,BJP,,13058,M,3,2,0,FALSE,FALSE,10.67,12358,10.1,,2
AEWB108962,12,0,1996,BIDUR PRAMANIK,West_Bengal,PANDUA,BJP,BJP,7314,M,3,2,0,FALSE,FALSE,5.14,5612,3.94,,2
AEWB108969,12,0,1996,MAINUL HAQUE,West_Bengal,POLBA,INC,,57872,M,2,1,0,FALSE,FALSE,46.42,55407,44.44,,1
AEWB108972,12,0,1996,RABINDRA NATH CHATTOPADHYAY,West_Bengal,POLBA,FB(S),,290,M,5,1,0,FALSE,FALSE,0.23,205,0.16,,1
AEWB108976,12,0,1996,SUHRID SAHA,West_Bengal,DHANIAKHALI,BJP,,5031,M,3,1,0,FALSE,FALSE,4,0,0,,1
AEWB108978,12,0,1996,GOUR MOHAN MAITY,West_Bengal,PURSURAH,INC,,46237,M,2,1,0,FALSE,FALSE,38.01,42812,35.2,,1
AEWB108979,12,0,1996,SUBHENDU MUKHERJEE,West_Bengal,PURSURAH,BJP,,3425,M,3,1,0,FALSE,FALSE,2.82,3251,2.67,,1
AEWB108986,12,0,1996,ABDUS SUKUR,West_Bengal,ARAMBAGH,INC,,47839,M,2,1,0,FALSE,FALSE,32.48,40619,27.58,,1
AEWB108987,12,0,1996,ANATH BANDHU DEY,West_Bengal,ARAMBAGH,BJP,,7220,M,3,1,0,FALSE,FALSE,4.9,6946,4.72,,1
AEWB108990,12,0,1996,LAKSHMI CHARAN KANRI,West_Bengal,GOGHAT,INC,,26975,M,2,1,0,FALSE,FALSE,20.66,17839,13.66,,1
AEWB108991,12,0,1996,MAHADEB SANTRA,West_Bengal,GOGHAT,BJP,,9136,M,3,1,0,FALSE,FALSE,7,5498,4.21,,1
AEWB108995,12,0,1996,MALOY BHATTACHARYA,West_Bengal,CHANDRAKONA,INC,,47696,M,2,1,0,FALSE,FALSE,35.59,40393,30.14,,1
AEWB108996,12,0,1996,MANGALA CHARAN DINDA,West_Bengal,CHANDRAKONA,BJP,,7303,M,3,1,0,FALSE,FALSE,5.45,0,0,,1
AEWB108998,4,0,1967,H . N . DOLUI,West_Bengal,GHATAL,INC,,13633,M,2,2,0,FALSE,FALSE,32.25,3637,8.6,,2
AEWB108998,12,0,1996,RAJANI KANTA DOLUI,West_Bengal,GHATAL,INC,INC,51158,M,2,2,0,FALSE,FALSE,41.71,49262,40.16,,2
AEWB108999,12,0,1996,ABHIRAM DOLUI,West_Bengal,GHATAL,BJP,,1896,M,3,1,0,FALSE,FALSE,1.55,1640,1.34,,1
AEWB109001,12,0,1996,MUKHOPADHAYA CHITTA RANJAN,West_Bengal,DASPUR,CPM,,56560,M,1,1,1,FALSE,FALSE,51.69,5790,5.29,,1
AEWB109002,12,0,1996,GOSWAMI JAGANNATH,West_Bengal,DASPUR,INC,,50770,M,2,1,0,FALSE,FALSE,46.4,48673,44.48,,1
AEWB109003,12,0,1996,BIRENDRA PAUL,West_Bengal,DASPUR,BJP,,2097,M,3,1,0,FALSE,FALSE,1.92,0,0,,1
AEWB109005,10,0,1987,NIRMAL MAITY,West_Bengal,NANDANPUR,INC,,36341,M,2,2,0,FALSE,FALSE,43.65,0,0,,2
AEWB109005,12,0,1996,NIRMAL MAITY,West_Bengal,NANDANPUR,INC,INC,51769,M,2,2,0,FALSE,FALSE,47.25,50138,45.77,,2
AEWB109006,12,0,1996,GOUR HARI GIRI,West_Bengal,NANDANPUR,BJP,,1631,M,3,1,0,FALSE,FALSE,1.49,1303,1.19,,1
AEWB109008,12,1,1998,SK. Dr. Omar Ali,West_Bengal,NANDANPUR,CPM,,53657,M,1,1,1,FALSE,FALSE,50.39,1148,1.08,,1
AEWB109013,12,0,1996,BISHNU PADA KUITI,West_Bengal,PANSKURA WEST,BJP,,5530,M,3,1,0,FALSE,FALSE,4.51,704,0.57,,1
AEWB109018,11,0,1991,SISIR SARKAR,West_Bengal,PANSKURA EAST,CPM,,48470,M,1,2,1,FALSE,FALSE,46.14,1552,1.48,,2
AEWB109018,12,0,1996,SARKAR SISIR,West_Bengal,PANSKURA EAST,CPM,CPM,62359,M,2,2,1,FALSE,TRUE,47.55,59635,45.47,,2
AEWB109019,12,0,1996,TUSHAR KANTI DAS,West_Bengal,PANSKURA EAST,BJP,,2724,M,3,1,0,FALSE,FALSE,2.08,357,0.27,,1
AEWB109022,11,0,1991,ANIL MUDI,West_Bengal,TAMLUK,INC,,50032,M,1,2,2,FALSE,FALSE,46.25,4475,4.14,,2
AEWB109022,12,0,1996,ANIL MUDI,West_Bengal,TAMLUK,INC,INC,61409,M,1,2,2,FALSE,TRUE,46.99,330,0.25,,2
AEWB109023,12,0,1996,SURAJIT BAGCHI,West_Bengal,TAMLUK,CPI,,61079,M,2,1,0,FALSE,FALSE,46.74,56591,43.31,,1
AEWB109025,12,0,1996,MATILAL KHATUA,West_Bengal,TAMLUK,BJP,,3346,M,4,1,0,FALSE,FALSE,2.56,3080,2.36,,1
AEWB109030,12,0,1996,SUBHAS DAS GAJENDRA MAHAPATRA,West_Bengal,MOYNA,BJP,,1392,M,3,1,0,FALSE,FALSE,1.07,152,0.12,,1
AEWB109034,11,0,1991,CHAKRABORTY SURYA,West_Bengal,MAHISHADAL,CPM,,41046,M,2,2,0,FALSE,FALSE,43,36484,38.22,,2
AEWB109034,12,0,1996,CHAKRABORTY SURYA,West_Bengal,MAHISHADAL,CPM,CPM,52464,M,2,2,0,FALSE,FALSE,45.39,48875,42.28,,2
AEWB109035,11,0,1991,SITAL PRASAD BAG,West_Bengal,MAHISHADAL,BJP,,4562,M,3,2,0,FALSE,FALSE,4.78,3602,3.77,,2
AEWB109035,12,0,1996,BAG SITALPRASAD,West_Bengal,MAHISHADAL,BJP,BJP,3589,M,3,2,0,FALSE,FALSE,3.11,3177,2.75,,2
AEWB109038,12,1,1999,Deepak Ghosh,West_Bengal,MAHISADAL,AITC,,,M,1,1,1,FALSE,FALSE,,0,,,1
AEWB109039,12,1,1999,Bera Sukumar,West_Bengal,MAHISADAL,INC,,,M,2,1,0,FALSE,FALSE,,0,,,1
AEWB109040,12,1,1999,Subrata Kumar Maiti,West_Bengal,MAHISADAL,CPM,,,M,3,1,0,FALSE,FALSE,,0,,,1
AEWB109043,12,0,1996,TUSHAR KANTI MANDAL,West_Bengal,SUTAHATA,INC,,81461,M,1,1,1,FALSE,FALSE,50.81,5223,3.26,,1
AEWB109049,12,0,1996,JOYDEB SATPATI,West_Bengal,NANDIGRAM,BJP,,1508,M,3,1,0,FALSE,FALSE,1.2,1058,0.84,,1
AEWB109054,12,0,1996,TAPAN KAR,West_Bengal,NARGHAT,BJP,,2342,M,3,1,0,FALSE,FALSE,1.78,1589,1.2,,1
AEWB109059,12,0,1996,AMAL ROY,West_Bengal,BHAGABANPUR,BJP,,3317,M,3,1,0,FALSE,FALSE,3.09,2554,2.38,,1
AEWB109062,12,0,1996,MONDAL RAMCHANDRA,West_Bengal,KHAJURI,CPM,,60289,M,1,1,1,FALSE,FALSE,55.51,14580,13.42,,1
AEWB109063,6,0,1971,SUNIRMAL PAIK,West_Bengal,KHAJURI,SSP,,4048,M,5,6,4,FALSE,FALSE,9.2,0,0,,6
AEWB109063,8,0,1977,SUNIRMAL PAIK,West_Bengal,KHAJURI,JNP,SSP,19071,M,1,6,4,TRUE,FALSE,43.76,9064,20.8,,6
AEWB109063,9,0,1982,SUNIRMAL PAIK,West_Bengal,KHAJURI,IND,JNP,36847,M,1,6,4,FALSE,TRUE,53.44,5676,8.23,,6
AEWB109063,10,0,1987,SUNIRMAL PAIK,West_Bengal,KHAJURI,IND,IND,46397,M,1,6,4,FALSE,TRUE,58.16,15365,19.26,,6
AEWB109063,11,0,1991,SUNIRMAL PAIK,West_Bengal,KHAJURI,CPM,IND,48670,M,1,6,4,FALSE,TRUE,53.21,10728,11.73,,6
AEWB109063,12,0,1996,PAIK SUNIRMAL,West_Bengal,KHAJURI,INC,CPM,45709,M,2,6,4,TRUE,TRUE,42.08,43092,39.67,,6
AEWB109064,12,0,1996,MONDAL GIRIDHARI,West_Bengal,KHAJURI,BJP,,2617,M,3,1,0,FALSE,FALSE,2.41,0,0,,1
AEWB109065,12,0,1996,CHAKRADHAR MAIKAP,West_Bengal,CONTAI NORTH,CPM,,55807,M,1,1,1,FALSE,FALSE,47.97,1233,1.06,,1
AEWB109066,12,0,1996,MUKUL BIKASH MAITI,West_Bengal,CONTAI NORTH,INC,,54574,M,2,1,0,FALSE,FALSE,46.91,50231,43.18,,1
AEWB109067,12,0,1996,BISWESWAR PONDA,West_Bengal,CONTAI NORTH,BJP,,4343,M,3,1,0,FALSE,FALSE,3.73,3799,3.27,,1
AEWB109074,12,0,1996,PARIJAT PALLAV BISWAS,West_Bengal,CONTAI SOUTH,BJP,,7159,M,3,1,0,FALSE,FALSE,6.38,4578,4.08,,1
AEWB109080,11,0,1991,MRINAL KANTI ROY,West_Bengal,RAMNAGAR,CPM,,53577,M,1,2,2,FALSE,FALSE,48.44,3643,3.29,,2
AEWB109080,12,0,1996,MRINAL KANTI ROY,West_Bengal,RAMNAGAR,CPM,CPM,63538,M,1,2,2,FALSE,TRUE,48.32,50,0.04,,2
AEWB109081,12,0,1996,DIPAK KUMAR DAS,West_Bengal,RAMNAGAR,INC,,63488,M,2,1,0,FALSE,FALSE,48.28,60276,45.84,,1
AEWB109082,12,0,1996,ANIL BARAN HAZRA,West_Bengal,RAMNAGAR,BJP,,3212,M,3,1,0,FALSE,FALSE,2.44,2114,1.61,,1
AEWB109086,12,0,1996,SOHAN JYOTI MAITI,West_Bengal,EGRA,INC,,50430,M,2,1,0,FALSE,FALSE,41.61,42794,35.31,,1
AEWB109087,12,0,1996,BENOY PAHARI,West_Bengal,EGRA,BJP,,7636,M,3,1,0,FALSE,FALSE,6.3,6661,5.5,,1
AEWB109090,12,0,1996,NARAYAN MUKHERJEE,West_Bengal,MUGBERIA,INC,,46306,M,2,1,0,FALSE,FALSE,39.84,43144,37.12,,1
AEWB109095,12,0,1996,PARESH CHANDRA BHUNIA,West_Bengal,PATASPUR,INC,,57009,M,2,1,0,FALSE,FALSE,45.07,53696,42.45,,1
AEWB109096,12,0,1996,ANIL GOSWAMI,West_Bengal,PATASPUR,BJP,,3313,M,3,1,0,FALSE,FALSE,2.62,3107,2.46,,1
AEWB109101,12,0,1996,BANGAL MAKHANLAL,West_Bengal,SABANG,IND,,60453,M,1,1,1,FALSE,FALSE,49.91,825,0.68,,1
AEWB109106,12,0,1996,SWAPAN DOBE,West_Bengal,PINGLA,INC,,47891,M,2,1,0,FALSE,FALSE,40.44,45339,38.28,,1
AEWB109107,12,0,1996,SUKESH MAITY,West_Bengal,PINGLA,BJP,,2552,M,3,1,0,FALSE,FALSE,2.15,1793,1.51,,1
AEWB109112,12,0,1996,PRADYOT SANTRA,West_Bengal,DEBRA,BJP,,2576,M,4,1,0,FALSE,FALSE,2.07,0,0,,1
