pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEML414,8,0,2008,CHARLES PYNGROPE,ST,Meghalaya,SOHRYNGKHAM,INC,INC,9639,M,1,2,FALSE,TRUE,46.99,4181,20.38,47,2,2
AEML421,8,0,2008,JEMINO MAWTHOH,ST,Meghalaya,MALKI-NONGTHYMMAI,NCP,,2793,M,3,1,FALSE,FALSE,17.54,1154,7.25,43,,1
AEML430,8,0,2008,HILARIUS POHCHEN,ST,Meghalaya,NONGKREM,NCP,,3131,M,4,1,FALSE,FALSE,15.39,493,2.42,37,,1
AEML433,7,0,2003,SHRI. LAMBOR MALNGIANG,,Meghalaya,NONGKREM,KHNAM,,2929,M,1,2,FALSE,FALSE,18.85,82,0.53,,1,2
AEML433,8,0,2008,LAMBOR MALNGIANG,ST,Meghalaya,NONGKREM,KHNAM,KHNAM,4128,M,2,2,FALSE,TRUE,20.29,829,4.07,34,1,2
AEML453,8,0,2008,KHRAWKUPAR JYRWA,ST,Meghalaya,MAWSYNRAM,NCP,,4601,M,2,1,FALSE,FALSE,28.76,261,1.63,43,,1
AEML47,8,0,2008,MOONLIGHT PARIAT,ST,Meghalaya,JOWAI,NCP,,4377,M,3,1,FALSE,FALSE,22.79,0,0,45,,1
AEML472,4,0,1988,DONKUPAR ROY,,Meghalaya,SHELLA,IND,,2110,M,1,5,FALSE,FALSE,27.74,418,5.49,,5,5
AEML472,5,0,1993,DONKUPAR ROY,,Meghalaya,SHELLA,IND,IND,3905,M,1,5,FALSE,TRUE,38.88,742,7.39,,5,5
AEML472,6,0,1998,DONKUPAR ROY,,Meghalaya,SHELLA,UDP,IND,3773,M,1,5,FALSE,TRUE,44.38,811,9.54,,5,5
AEML472,7,0,2003,DONKUPAR ROY,,Meghalaya,SHELLA,UDP,UDP,3145,M,1,5,FALSE,TRUE,32.93,222,2.32,,5,5
AEML472,8,0,2008,DR. DONKUPAR ROY,ST,Meghalaya,SHELLA,UDP,UDP,4238,M,1,5,FALSE,TRUE,41.87,939,9.28,53,5,5
AEML484,7,0,2003,SHRI. PRESTONE TYNSONG,,Meghalaya,LYNGKYRDEM,INC,,2832,M,1,2,FALSE,FALSE,21.49,417,3.16,,2,2
AEML484,8,0,2008,PRESTONE TYNSONG,ST,Meghalaya,LYNGKYRDEM,INC,INC,7356,M,1,2,FALSE,TRUE,41.87,803,4.57,42,2,2
AEML492,8,0,2008,DONEVAN WANLANG,ST,Meghalaya,SOHRA,KHNAM,,2468,M,4,1,FALSE,FALSE,15.9,2227,14.35,40,,1
AEML499,3,0,1983,SINGH MULIEH,,Meghalaya,JOWAI,IND,,1750,M,3,6,FALSE,FALSE,20.42,41,0.48,,2,6
AEML499,4,0,1988,SINGH MULIEH,,Meghalaya,JOWAI,IND,IND,2578,M,3,6,FALSE,FALSE,24.53,1852,17.62,,2,6
AEML499,5,0,1993,SINGH MULIEH,,Meghalaya,JOWAI,IND,IND,5692,M,2,6,FALSE,FALSE,32.63,1512,8.67,,2,6
AEML499,6,0,1998,SINGH MULIEH,,Meghalaya,JOWAI,UDP,IND,8775,M,1,6,FALSE,FALSE,50.61,212,1.22,,2,6
AEML499,7,0,2003,SHRI. SINGH MULIEH,,Meghalaya,JOWAI,UDP,UDP,8967,M,1,6,FALSE,TRUE,49.36,661,3.64,,2,6
AEML499,8,0,2008,SINGH MULIEH,ST,Meghalaya,JOWAI,UDP,UDP,7119,M,2,6,FALSE,TRUE,37.06,2742,14.28,53,2,6
AEML501,8,0,2008,TITOSSTAR WELL CHYNE,ST,Meghalaya,SOHRA,UDP,,4107,M,2,1,FALSE,FALSE,26.46,183,1.18,40,,1
AEML505,2,0,1978,MARTLE MUKHIM,,Meghalaya,DIENGLIENG,IND,,1094,M,4,7,FALSE,FALSE,17.46,920,14.68,,4,7
AEML505,3,0,1983,MARTLE MUKHIM,,Meghalaya,DIENGLIENG,AHL,IND,2772,M,2,7,FALSE,FALSE,36.11,1196,15.58,,4,7
AEML505,4,0,1988,MARTLE MUKHIN,,Meghalaya,DIENGLIENG,PDC,AHL,5809,M,1,7,TRUE,FALSE,53.16,2443,22.36,,4,7
AEML505,5,0,1993,MARTLE MUKHIM,,Meghalaya,DIENGLIENG,PDI,PDC,7508,M,1,7,TRUE,TRUE,56.63,1757,13.25,,4,7
AEML505,6,0,1998,MARTLE N. MUKHIM,,Meghalaya,DIENGLIENG,UDP,PDI,5655,M,1,7,TRUE,TRUE,46.51,1382,11.37,,4,7
AEML505,7,0,2003,SHRI. MARTLE N. MUKHIM,,Meghalaya,DIENGLIENG,MDP,UDP,5238,M,1,7,TRUE,TRUE,41.79,2463,19.65,,4,7
AEML505,8,0,2008,MARTLE N MUKHIM,ST,Meghalaya,DIENGLIENG,MDP,MDP,4459,M,2,7,FALSE,TRUE,27.26,577,3.53,58,4,7
AEML507,8,0,2008,REMINGTON PYNGROPE,ST,Meghalaya,DIENGLIENG,UDP,,4525,M,1,1,FALSE,FALSE,27.67,66,0.4,38,1,1
AEML5195151,8,0,2008,FANTIN KITBOK RYNTATHIANG,ST,Meghalaya,MAWTHENGKUT,UDP,,3325,M,3,1,FALSE,FALSE,16.16,225,1.09,34,,1
AEML5195157,8,0,2008,JAMES PANGSANG KONGKAL SANGMA,ST,Meghalaya,RONGCHUGIRI,NCP,,5877,M,1,1,FALSE,FALSE,41.82,1438,10.23,32,1,1
AEML5195160,8,0,2008,ARDENT MILLER BASAIAWMOIT,ST,Meghalaya,NONGKREM,UDP,,4845,M,1,1,FALSE,FALSE,23.81,717,3.52,35,1,1
AEML5195161,7,0,2003,SHRI. PHLASTINGWEL PANGNIANG,,Meghalaya,MAWTHENGKUT,HPDP,,3300,M,3,2,FALSE,FALSE,19.89,1434,8.64,,,2
