pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEKA107666,9,0,1989,H.N.NANJEGOWDA,GEN,Karnataka,HASSAN,GEN,JNP (JP),INC,214131,M,2,3,TRUE,TRUE,28.75,104010,13.97,2,3
AEKA11867,9,0,1989,THONTADARYA,,Karnataka,MYSORE,GEN,BJP,,25398,M,4,1,FALSE,FALSE,3.67,18385,2.66,,1
AEKA11930,9,0,1989,MA. BA. CHANNABASAPPA,,Karnataka,HASSAN,GEN,IND,,7862,M,4,1,FALSE,FALSE,1.06,3286,0.44,,1
AEKA11963,9,0,1989,V.DHANAJAYA KUMAR,GEN,Karnataka,MANGALORE,GEN,BJP,,184575,M,2,1,FALSE,FALSE,29.53,51042,8.17,,1
AEKA12031,9,0,1989,M.ANANDA RAO,,Karnataka,SHIMOGA,GEN,BJP,,108241,M,3,1,FALSE,FALSE,15.59,13526,1.95,,1
AEKA12079,8,0,1984,G. S. HEGDE AJJIBAL,,Karnataka,KANARA,GEN,JNP,,187866,M,2,2,FALSE,FALSE,39.82,164438,34.86,,2
AEKA12079,9,0,1989,G.S.HEGDE,,Karnataka,DHARWAD NORTH,GEN,LKD (B),JNP,885,M,13,2,TRUE,FALSE,0.15,254,0.04,,2
AEKA14091,9,0,1989,DEVEGOWDA,,Karnataka,MANDYA,GEN,IND,,5946,M,5,1,FALSE,FALSE,0.84,863,0.12,,1
AEKA14096,8,0,1984,V. SUNDARAKRISHNA,,Karnataka,MANDYA,GEN,IND,,2638,M,8,2,FALSE,FALSE,0.48,715,0.13,,2
AEKA14096,9,0,1989,V.SUNDRAKRISHNA,,Karnataka,MANDYA,GEN,IND,IND,5083,M,6,2,FALSE,FALSE,0.72,1448,0.21,,2
AEKA14253,9,0,1989,P.B.S. MANI,,Karnataka,CHIKMAGALUR,GEN,IND,,3966,M,5,1,FALSE,FALSE,0.62,782,0.12,,1
AEKA412,9,0,1989,A.NARAYANA SWAMY,,Karnataka,BANGALORE NORTH,GEN,IND,,1178,M,13,1,FALSE,FALSE,0.16,221,0.03,,1
AEKA5808,9,0,1989,ANANT NAG,,Karnataka,KANARA,GEN,JD,,209003,M,2,1,FALSE,FALSE,33.03,128437,20.3,,1
AEKA7403,7,0,1980,SIDNAL SHANMUKHAPPA BASAPPA,,Karnataka,BELGAUM,GEN,INC(I),,217527,M,1,3,FALSE,FALSE,52.29,141197,33.94,3,3
AEKA7403,8,0,1984,SIDNAL SHANMUKHAPPA BASAPPA,,Karnataka,BELGAUM,GEN,INC,INC(I),202506,M,1,3,FALSE,TRUE,42.66,35540,7.49,3,3
AEKA7403,9,0,1989,SIDNAL SHANMUKAPPA BASSAPPA,,Karnataka,BELGAUM,GEN,INC,INC,210329,M,1,3,FALSE,TRUE,32.5,23048,3.56,3,3
AEKA8028,8,0,1984,G. S. BASAVARAJU,GEN,Karnataka,TUMKUR,GEN,INC,,265249,M,1,2,FALSE,FALSE,51,30410,5.85,2,2
AEKA8028,9,0,1989,G.S.BASAVARAJ,GEN,Karnataka,TUMKUR,GEN,INC,INC,376878,M,1,2,FALSE,TRUE,55.91,199138,29.54,2,2
AEKA8521,6,0,1977,Y. RAMAKRISHNA,,Karnataka,KOLAR,SC,BLD,,123274,M,2,2,FALSE,FALSE,35.07,110893,31.55,1,2
AEKA8521,9,0,1989,Y.RAMAKRISHNA,,Karnataka,KOLAR,SC,INC,BLD,350009,M,1,2,TRUE,FALSE,51.85,132602,19.64,1,2
AEKA8658,9,0,1989,D.MANDEGOWDA,,Karnataka,MYSORE,GEN,JNP (JP),,135524,M,2,1,FALSE,FALSE,19.6,3619,0.52,,1
AEKA9730,9,0,1989,KRISHNAMURTHY,,Karnataka,RAICHUR,GEN,JNP (JP),,68574,M,3,1,FALSE,FALSE,13.81,22199,4.47,,1
AEKA9849,9,0,1989,BASAVARAJ PATIL,,Karnataka,KOPPAL,GEN,JD,,317341,M,1,1,FALSE,FALSE,49.31,23088,3.59,1,1
AEKL101346,9,0,1989,K. MURALEEDHARAN,GEN,Kerala,CALICUT,GEN,INC,,377858,M,1,1,FALSE,FALSE,48.18,28957,3.69,1,1
AEKL102077,8,0,1984,SURESH KURUP,GEN,Kerala,KOTTAYAM,GEN,CPM,,264444,M,1,2,FALSE,FALSE,47.49,5853,1.05,1,2
AEKL102077,9,0,1989,SURESH KURUP,GEN,Kerala,KOTTAYAM,GEN,CPM,CPM,331276,M,2,2,FALSE,TRUE,44.21,312827,41.74,1,2
AEKL102933,9,0,1989,M. C. JOSEPHINE,,Kerala,IDUKKI,GEN,CPM,,307037,F,2,1,FALSE,FALSE,41.31,281683,37.9,,1
AEKL103315,9,0,1989,N. RAJAN,,Kerala,ADOOR,SC,CPI,,322130,M,2,1,FALSE,FALSE,46.78,305007,44.29,,1
AEKL103764,9,0,1989,P. J. THOMAS,,Kerala,MUVATTUPUZHA,GEN,BJP,,17386,M,4,1,FALSE,FALSE,2.38,13855,1.9,,1
AEKL103820,9,0,1989,P. J. JOSEPH,,Kerala,MUVATTUPUZHA,GEN,KEC,,68811,M,3,1,FALSE,FALSE,9.43,51425,7.05,,1
AEKL103821,9,0,1989,M. N. JAYACHANDRAN,,Kerala,IDUKKI,GEN,BJP,,25354,M,3,1,FALSE,FALSE,3.41,22492,3.03,,1
AEKL103894,9,0,1989,K. V. DEVADAS,,Kerala,ALLEPPEY,GEN,CPM,,350640,M,2,1,FALSE,FALSE,46.95,335513,44.92,,1
AEKL103903,9,0,1989,N. HARIHARAN,,Kerala,BADAGARA,GEN,JNP (JP),,3213,M,5,1,FALSE,FALSE,0.41,2203,0.28,,1
AEKL104108,9,0,1989,V. N. GOPALAKRISHNAN NAIR,,Kerala,CHIRAYINKIL,GEN,BJP,,23049,M,3,1,FALSE,FALSE,3.18,19549,2.7,,1
AEKL104595,9,0,1989,SAVITHRI LAKSHMANAN,,Kerala,MUKUNDAPURAM,GEN,INC,,367931,F,1,1,FALSE,FALSE,48.77,18754,2.49,1,1
AEKL104764,9,0,1989,THEVAN SASTHAVU,,Kerala,MUVATTUPUZHA,GEN,IND,,3531,M,5,1,FALSE,FALSE,0.48,2035,0.28,,1
AEKL104797,9,0,1989,JOHN JOSEPH,,Kerala,ERNAKULAM,GEN,IND,,2029,M,4,1,FALSE,FALSE,0.26,921,0.12,,1
AEKL105024,9,0,1989,NIRANAM RAJAN,,Kerala,MAVELIKARA,GEN,IND,,561,M,8,1,FALSE,FALSE,0.09,369,0.06,,1
AEKL105058,9,0,1989,MAVELIKARA SUDARSANAN,,Kerala,MAVELIKARA,GEN,IND,,187,M,10,1,FALSE,FALSE,0.03,0,0,,1
AEKL105168,9,0,1989,BAGU DIVAKARAN,,Kerala,QUILON,GEN,RSP,,359393,M,2,1,FALSE,FALSE,46.62,343191,44.52,,1
AEKL105511,9,0,1989,S. VENKITARAMANAN EMBRANTHIRY,,Kerala,MANJERI,GEN,IND,,459,M,9,1,FALSE,FALSE,0.06,68,0.01,,1
AEKL105593,9,0,1989,T. CHANDRASEKHARAN,,Kerala,PALGHAT,GEN,BJP,,27220,M,3,1,FALSE,FALSE,3.7,25038,3.41,,1
AEKL105685,9,0,1989,MEENAKSHY THAMPAN,,Kerala,TRICHUR,GEN,CPI,,332036,F,2,1,FALSE,FALSE,46.49,293831,41.14,,1
AEKL105695,9,0,1989,THOPPIL RAJAPPAN,,Kerala,MUKUNDAPURAM,GEN,IND,,492,M,10,1,FALSE,FALSE,0.07,93,0.01,,1
AEKL106381,8,0,1984,KERALA VERMA,,Kerala,TRIVANDRUM,GEN,IND,,110449,M,3,2,FALSE,FALSE,19.8,104024,18.65,,2
AEKL106381,9,0,1989,KERALA VARMA,,Kerala,MANJERI,GEN,IND,IND,623,M,6,2,FALSE,FALSE,0.08,94,0.01,,2
AEKL106520,9,0,1989,KAVASSERY SANKARAN,,Kerala,PALGHAT,GEN,IND,,579,M,11,1,FALSE,FALSE,0.08,33,0,,1
AEKL106708,9,0,1989,KALOOR JOSEPH,,Kerala,ERNAKULAM,GEN,IND,,1108,M,5,1,FALSE,FALSE,0.14,13,0,,1
AEKL107137,9,0,1989,P. R. RAMAN,,Kerala,ADOOR,SC,IND,,1024,M,6,1,FALSE,FALSE,0.15,76,0.01,,1
AEKL107366,9,0,1989,P. ASOK KUMAR,,Kerala,TRIVANDRUM,GEN,BJP,,56046,M,3,1,FALSE,FALSE,7.47,53341,7.11,,1
AEKL107747,9,0,1989,K. V. SREEDHARAN MASTER,,Kerala,TRICHUR,GEN,BJP,,38205,M,3,1,FALSE,FALSE,5.35,37085,5.19,,1
AEKL108070,9,0,1989,C. K. LUKOSE,,Kerala,QUILON,GEN,IND,,2159,M,5,1,FALSE,FALSE,0.28,826,0.11,,1
AEKL108468,9,0,1989,C. POULOSE,,Kerala,MUVATTUPUZHA,GEN,IND,,283380,M,2,1,FALSE,FALSE,38.84,214569,29.41,,1
AEKL110654,9,0,1989,JOSEPH JOSEPH,,Kerala,CALICUT,GEN,IND,,930,M,7,1,FALSE,FALSE,0.12,34,0,,1
AEMH105943,9,0,1989,AHER DAULA SONUJI,,Maharashtra,NASHIK,GEN,BJP,,287267,M,1,1,FALSE,FALSE,51.06,30653,5.45,1,1
AEMH107701,8,0,1984,A. R. ANTULAY,,Maharashtra,KOLABA,GEN,IND,,173270,M,2,2,FALSE,FALSE,37.95,110238,24.14,1,2
AEMH107701,9,0,1989,ANTULAY A. R.,GEN,Maharashtra,KOLABA,GEN,INC,IND,333950,M,1,2,FALSE,FALSE,53.51,115434,18.5,1,2
AEMH108489,9,0,1989,KHUSHAL PARASRAM SOPCHE,,Maharashtra,BHANDARA,GEN,BJP,,285843,M,1,1,FALSE,FALSE,47.47,40094,6.66,1,1
AEMH109021,9,0,1989,ANNA JOSHI,,Maharashtra,PUNE,GEN,BJP,,287870,M,2,1,FALSE,FALSE,42.41,230033,33.89,,1
AEMH109332,8,0,1984,JAYAWANTIBEN NAVINCHANDRA MEHTA,GEN,Maharashtra,BOMBAY SOUTH,GEN,BJP,,94874,F,2,2,FALSE,FALSE,28.52,65678,19.75,1,2
AEMH109332,9,0,1989,MEHTA JAYAWANTI NAVINCHANDRA,GEN,Maharashtra,BOMBAY NORTH EAST,GEN,BJP,BJP,414282,F,1,2,FALSE,FALSE,47.19,71555,8.15,1,2
AEMH109337,8,0,1984,DEORA MURLI,,Maharashtra,BOMBAY SOUTH,GEN,INC,,200152,M,1,2,FALSE,FALSE,60.18,105278,31.65,2,2
AEMH109337,9,0,1989,DEORA MURLI,,Maharashtra,BOMBAY SOUTH,GEN,INC,INC,178986,M,1,2,FALSE,TRUE,45.78,17739,4.54,2,2
AEMH109461,9,0,1989,RAM NAIK,GEN,Maharashtra,BOMBAY NORTH,GEN,BJP,,362787,M,1,1,FALSE,FALSE,41.7,100205,11.52,1,1
AEMH109800,9,0,1989,GUNWANT RAMBHU SARODE,,Maharashtra,JALGAON,GEN,BJP,,203556,M,2,1,FALSE,FALSE,33.64,29844,4.93,,1
AEMH110045,8,0,1984,BANWARILAL BHAGWANDAS PUROHIT,GEN,Maharashtra,NAGPUR,GEN,INC,,293739,M,1,2,FALSE,FALSE,52.99,130683,23.57,2,2
AEMH110045,9,0,1989,PURHIT BANWARILAL BHAGWANDAS,GEN,Maharashtra,NAGPUR,GEN,INC,INC,277292,M,1,2,FALSE,TRUE,38.85,90000,12.61,2,2
AEMH110064,9,0,1989,GANGADHAR RAMKRUSHNRAO TELRANDHE,,Maharashtra,NAGPUR,GEN,IND,,1694,M,6,1,FALSE,FALSE,0.24,32,0,,1
AEMH110165,9,0,1989,SHIWNKAR MANOHARRAO SUKAJI,GEN,Maharashtra,CHIMUR,GEN,BJP,,293413,M,1,1,FALSE,FALSE,41.62,33604,4.77,1,1
AEMH110562,9,0,1989,GHODKE KUNDLIKRAO EKNATH,,Maharashtra,OSMANABAD,SC,PWP,,102749,M,2,1,FALSE,FALSE,22.77,24335,5.39,,1
AEMH110700,8,0,1984,DHAKNE BABANRAO DADABA,,Maharashtra,AHMEDNAGAR,GEN,JNP,,181550,M,2,2,FALSE,FALSE,37.93,173159,36.17,1,2
AEMH110700,9,0,1989,DHAKNO BABANRAO DADABA,,Maharashtra,BEED,GEN,JD,JNP,229496,M,1,2,TRUE,FALSE,37.79,1985,0.33,1,2
AEMH110998,9,0,1989,KALIKATE GOVINDRAO TUKARAM,,Maharashtra,KOLHAPUR,GEN,PWP,,233548,M,2,1,FALSE,FALSE,45.06,230704,44.52,,1
AEMH111159,8,0,1984,DIGHE SHARAD SHANKAR,,Maharashtra,BOMBAY NORTH CENTRAL,GEN,INC,,211443,M,1,2,FALSE,FALSE,48.44,132098,30.26,1,2
AEMH111159,9,0,1989,DIGHE SHARAD SHANKAR,,Maharashtra,BOMBAY NORTH CENTRAL,GEN,INC,INC,246656,M,2,2,FALSE,TRUE,43.47,211020,37.19,1,2
AEMH111227,6,0,1977,GORE MRINAL KESHAV,,Maharashtra,BOMBAY NORTH,GEN,BLD,,278246,F,1,3,FALSE,FALSE,67.05,147090,35.44,1,3
AEMH111227,7,0,1980,GORE MRINAL KESHAV,,Maharashtra,BOMBAY NORTH,GEN,IND,BLD,40487,F,3,3,FALSE,TRUE,8.98,37746,8.37,1,3
AEMH111227,9,0,1989,GORE MRINAL,,Maharashtra,BOMBAY NORTH,GEN,JD,IND,232169,F,3,3,FALSE,FALSE,26.69,230382,26.48,1,3
AEMH111648,9,0,1989,HAJARE PANDURANG JAIRAMJI,,Maharashtra,RAMTEK,GEN,JD,,223330,M,2,1,FALSE,FALSE,39.38,202190,35.65,,1
AEMH111769,7,0,1980,PATIL UTTAMRAO DEORAO,GEN,Maharashtra,YAVATMAL,GEN,INC(I),,281387,M,1,3,FALSE,FALSE,71.42,200180,50.81,3,3
AEMH111769,8,0,1984,PATIL UTTAMRAO DEORAO,GEN,Maharashtra,YAVATMAL,GEN,INC,INC(I),274957,M,1,3,FALSE,TRUE,63.63,166202,38.46,3,3
AEMH111769,9,0,1989,UTTAMRAO DEORAO PATIL,GEN,Maharashtra,YAVATMAL,GEN,INC,INC,228713,M,1,3,FALSE,TRUE,43.85,26739,5.13,3,3
AEMH111930,7,0,1980,KASHIRSAGAR KESARBAI SONAJIRAO ALIAS KAKU,,Maharashtra,BEED,GEN,INC(I),,203870,F,1,3,FALSE,FALSE,55.26,67503,18.3,2,3
AEMH111930,8,0,1984,KSHIRSAGAR KEHSARBAI SONAJIRAO,,Maharashtra,BEED,GEN,INC,INC(I),221421,F,1,3,FALSE,TRUE,48.54,110362,24.19,2,3
AEMH111930,9,0,1989,KSHIRSAGAR KESHARBAI SONAJIRAO,,Maharashtra,BEED,GEN,INC,INC,227511,F,2,3,FALSE,TRUE,37.46,93751,15.44,2,3
AEMH111949,7,0,1980,SHIVRAJ VISHWANATH PATIL,GEN,Maharashtra,LATUR,GEN,INC(I),,253948,M,1,3,FALSE,FALSE,59.71,189867,44.64,3,3
AEMH111949,8,0,1984,PATIL SHIVRAJ VISHWANATH,GEN,Maharashtra,LATUR,GEN,INC,INC(I),289466,M,1,3,FALSE,TRUE,54.43,85537,16.08,3,3
AEMH111949,9,0,1989,PATIL SHIVRAJ VISHWANATH,GEN,Maharashtra,LATUR,GEN,INC,INC,304733,M,1,3,FALSE,TRUE,50.36,43855,7.25,3,3
AEMH113639,8,0,1984,GHOPAL SHANTARAM GOPAL,,Maharashtra,THANE,GEN,INC,,328709,M,1,2,FALSE,FALSE,58.73,115390,20.62,1,2
