pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEWB103138,15,0,2011,AHMED JAVED KHAN,West_Bengal,KASBA,AITC,,92460,M,1,2,FALSE,FALSE,53.81,19889,11.57,54,2,2
AEWB103138,16,0,2016,AHMED JAVED KHAN,West_Bengal,KASBA,AITC,AITC,91679,M,1,2,FALSE,TRUE,46.52,11884,6.03,59,2,2
AEWB103140,15,0,2011,BIKASH DEBNATH,West_Bengal,KASBA,BJP,,3066,M,3,2,FALSE,FALSE,1.78,1665,0.97,54,,2
AEWB103140,16,0,2016,BIKASH DEBNATH,West_Bengal,KASBA,BJP,BJP,17550,M,3,2,FALSE,FALSE,8.9,13837,7.02,60,,2
AEWB103145,15,0,2011,MANISH GUPTA,West_Bengal,JADAVPUR,AITC,,103972,M,1,2,FALSE,FALSE,52.65,16684,8.45,69,1,2
AEWB103145,16,0,2016,MANISH GUPTA,West_Bengal,JADAVPUR,AITC,AITC,84035,M,2,2,FALSE,TRUE,41.19,70113,34.37,74,1,2
AEWB103206,15,0,2011,RAJ KUMARI SHAW,West_Bengal,KOLKATA PORT,BJP,,2699,F,4,2,FALSE,FALSE,2.06,653,0.5,38,,2
AEWB103206,16,0,2016,RAJ KUMARI SHAW,West_Bengal,CHAMPDANI,BJP,BJP,23383,F,3,2,FALSE,FALSE,12.69,19781,10.74,44,,2
AEWB103232,15,0,2011,SUBRATA MUKHERJEE,West_Bengal,BALLYGUNGE,AITC,,88194,M,1,2,FALSE,FALSE,60.65,41185,28.32,64,2,2
AEWB103232,16,0,2016,SUBRATA MUKHERJEE,West_Bengal,BALLYGUNGE,AITC,AITC,70083,M,1,2,FALSE,TRUE,45.53,15225,9.89,69,2,2
AEWB103249,15,1,2014,Nayna Bandyopadhyay,West_Bengal,CHOWRANGEE,AITC,,38328,F,1,2,FALSE,FALSE,40.14,14344,15.02,,2,2
AEWB103249,16,0,2016,NAYNA BANDYOPADHYAY,West_Bengal,CHOWRANGEE,AITC,AITC,55119,F,1,2,FALSE,TRUE,47.29,13216,11.34,47,2,2
AEWB103259,15,0,2011,DEBESH DAS,West_Bengal,ENTALLY,CPM,,50895,M,2,2,FALSE,FALSE,37.71,47665,35.32,48,,2
AEWB103259,16,0,2016,DEBESH DAS,West_Bengal,ENTALLY,CPM,CPM,47853,M,2,2,FALSE,FALSE,32.79,33171,22.73,56,,2
AEWB103268,11,0,1991,PARESH PAUL,West_Bengal,MANICKTOLA,INC,,44993,M,2,6,FALSE,FALSE,42.64,36787,34.87,,4,6
AEWB103268,12,0,1996,PARESH PAUL,West_Bengal,MANICKTOLA,INC,INC,62088,M,1,6,FALSE,FALSE,48.17,507,0.39,,4,6
AEWB103268,13,0,2001,PARESH PAUL,West_Bengal,MANICKTOLA,AITC,INC,59626,M,1,6,TRUE,TRUE,49.57,5509,4.58,,4,6
AEWB103268,14,0,2006,PARESH PAUL,West_Bengal,MANICKTOLA,AITC,AITC,52523,M,2,6,FALSE,TRUE,46.6,49287,43.73,53,4,6
AEWB103268,15,0,2011,PARESH PAUL,West_Bengal,BELEGHATA,AITC,AITC,93185,M,1,6,FALSE,FALSE,57.45,31688,19.54,65,4,6
AEWB103268,16,0,2016,PARESH PAUL,West_Bengal,BELEGHATA,AITC,AITC,84843,M,1,6,FALSE,TRUE,52.82,26179,16.3,70,4,6
AEWB103290,15,0,2011,DR. SHASHI PANJA,West_Bengal,SHYAMPUKUR,AITC,,72904,F,1,2,FALSE,FALSE,57.97,27036,21.5,48,2,2
AEWB103290,16,0,2016,SHASHI PANJA,West_Bengal,SHYAMPUKUR,AITC,AITC,53507,F,1,2,FALSE,TRUE,45.8,13155,11.26,51,2,2
AEWB103338,15,0,2011,MOUSUMI BISWAS,West_Bengal,HOWRAH MADHYA,BJP,,6223,F,3,2,FALSE,FALSE,3.74,4629,2.78,50,,2
AEWB103338,16,0,2016,MOUSUMI BISWAS,West_Bengal,SHYAMPUR,BJP,BJP,8075,F,3,2,FALSE,FALSE,3.97,6551,3.22,54,,2
AEWB103370,14,0,2006,DOLI ROY,West_Bengal,PANCHLA,AIFB,,64274,F,1,3,FALSE,FALSE,47.8,25503,18.96,36,1,3
AEWB103370,15,0,2011,DOLI ROY,West_Bengal,PANCHLA,AIFB,AIFB,64510,F,2,3,FALSE,TRUE,38.53,50023,29.88,41,1,3
AEWB103370,16,0,2016,DOLI ROY,West_Bengal,PANCHLA,AIFB,AIFB,69199,F,2,3,FALSE,FALSE,36.25,53133,27.84,46,1,3
AEWB103405,15,0,2011,ARUNAVA SEN (RAJA),West_Bengal,BAGNAN,AITC,,82730,M,1,2,FALSE,FALSE,53.55,19270,12.47,35,2,2
