pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEKL110815,3,0,1965,SHAMSUDIN,,Kerala,ERAVIPURAM,SSP,,12406,M,3,1,FALSE,FALSE,23.89,11134,21.44,,,1
AEKL110818,3,0,1965,THANKANPPAN PILLAI,,Kerala,CHANTHANOOR,IND,,17462,M,1,1,FALSE,FALSE,34.8,768,1.53,,1,1
AEKL110820,3,0,1965,C. V. PADMARAJAN,,Kerala,CHANTHANOOR,CON,,8805,M,3,1,FALSE,FALSE,17.55,4178,8.33,,,1
AEKL110821,3,0,1965,A. HARIDASAN,,Kerala,CHANTHANOOR,CPM,,4627,M,4,1,FALSE,FALSE,9.22,2031,4.05,,,1
AEKL110823,3,0,1965,K. SHAHUL HAMEED,,Kerala,VARKALA,CON,,21092,M,1,1,FALSE,FALSE,47.67,8711,19.69,,1,1
AEKL110824,3,0,1965,V. RADHAKRISHNAN,,Kerala,VARKALA,CPM,,12381,M,2,1,FALSE,FALSE,27.98,1611,3.64,,,1
AEKL110825,3,0,1965,ABDUL MAJEED,,Kerala,VARKALA,CPI,,10770,M,3,1,FALSE,FALSE,24.34,0,0,,,1
AEKL110826,3,0,1965,K. ANIRUDHAN,,Kerala,ATTINGAL,CPM,,25598,M,1,1,FALSE,FALSE,47.75,2083,3.89,,1,1
AEKL110827,3,0,1965,R .SANKAR,,Kerala,ATTINGAL,CON,,23515,M,2,1,FALSE,FALSE,43.87,20345,37.95,,,1
AEKL110830,3,0,1965,C. K. BALAKRISHNAN,,Kerala,KILIMANOOR,CPM,,17911,M,1,1,FALSE,FALSE,45.83,344,0.88,,1,1
AEKL110831,3,0,1965,K. SIVADASAN,,Kerala,KILIMANOOR,CON,,17567,M,2,1,FALSE,FALSE,44.95,14706,37.63,,,1
AEKL110834,3,0,1965,M.KUNJUKRISHNA PILLAI,,Kerala,VAMANAPURAM,CON,,18017,M,1,1,FALSE,FALSE,45.37,1049,2.64,,1,1
AEKL110835,3,0,1965,VASUDEVAN PILLAI,,Kerala,VAMANAPURAM,CPM,,16968,M,2,1,FALSE,FALSE,42.73,14112,35.54,,,1
AEKL110838,3,0,1965,V. SANKARAN,,Kerala,ARYANAD,CON,,11187,M,1,1,FALSE,FALSE,32.21,1297,3.73,,1,1
AEKL110839,3,0,1965,M. ABDUL MAJEED,,Kerala,ARYANAD,SSP,,9890,M,2,1,FALSE,FALSE,28.47,2891,8.32,,,1
AEKL110840,3,0,1965,BEOL WILLIAM,,Kerala,ARYANAD,KC,,6999,M,3,1,FALSE,FALSE,20.15,1884,5.42,,,1
AEKL110841,3,0,1965,K. SAMBASIVAN,,Kerala,ARYANAD,CPI,,5115,M,4,1,FALSE,FALSE,14.73,4207,12.11,,,1
AEKL110844,3,0,1965,S. VARADARAJAN NAIR,,Kerala,NEDUMANGAD,CON,,21674,M,1,1,FALSE,FALSE,56.47,12049,31.39,,1,1
AEKL110845,3,0,1965,NEELAKANTARU PANDARATHIL,,Kerala,NEDUMANGAD,CPI,,9625,M,2,1,FALSE,FALSE,25.08,2542,6.62,,,1
AEKL110846,3,0,1965,SREEDHAR,,Kerala,NEDUMANGAD,SSP,,7083,M,3,1,FALSE,FALSE,18.45,0,0,,,1
AEKL110847,3,0,1965,N. LAKSHMANAN,,Kerala,KAZHAKUTTAM,CON,,17379,M,1,1,FALSE,FALSE,34.43,3368,6.67,,1,1
AEKL110848,3,0,1965,K. P. ALIKUNJU,,Kerala,KAZHAKUTTAM,CPM,,14011,M,2,1,FALSE,FALSE,27.76,748,1.48,,,1
AEKL110849,3,0,1965,V. GOPI,,Kerala,KAZHAKUTTAM,KC,,13263,M,3,1,FALSE,FALSE,26.28,8454,16.75,,,1
AEKL110850,3,0,1965,K. SADANANDAN,,Kerala,KAZHAKUTTAM,CPI,,4809,M,4,1,FALSE,FALSE,9.53,3795,7.52,,,1
AEKL110852,3,0,1965,B. MADHAVAN NAIR,,Kerala,TRIVANDRUM I,SSP,,14865,M,1,1,FALSE,FALSE,41.23,227,0.63,,1,1
AEKL110853,3,0,1965,M. N. GOPINATHAN NAIR,,Kerala,TRIVANDRUM I,CON,,14638,M,2,1,FALSE,FALSE,40.6,10928,30.31,,,1
AEKL110855,3,0,1965,K. KARUNAKARAN,,Kerala,TRIVANDRUM I,CPI,,2583,M,4,1,FALSE,FALSE,7.16,2323,6.44,,,1
AEKL110857,3,0,1965,WILFRED SEBASTIAN,,Kerala,TRIVANDRUM I I,CON,,18129,M,1,1,FALSE,FALSE,38.76,3843,8.22,,1,1
AEKL110858,3,0,1965,E. P. EAPEN,,Kerala,TRIVANDRUM I I,SSP,,14286,M,2,1,FALSE,FALSE,30.54,4623,9.88,,,1
AEKL110862,3,0,1965,M. SADASIVAN,,Kerala,NEMON,CPM,,17756,M,1,1,FALSE,FALSE,44.28,2713,6.77,,1,1
AEKL110863,3,0,1965,P. NARAYAN NAIR,,Kerala,NEMON,CON,,15043,M,2,1,FALSE,FALSE,37.51,11518,28.72,,,1
AEKL110867,3,0,1965,M. KUNJUKRISHNAN NADAR,,Kerala,KOVALAM,CON,,19896,M,1,1,FALSE,FALSE,51.03,10924,28.02,,1,1
AEKL110868,3,0,1965,CAMALIAS MORAES,,Kerala,KOVALAM,KC,,8972,M,2,1,FALSE,FALSE,23.01,523,1.34,,,1
AEKL110869,3,0,1965,ANTONY D CRUZ,,Kerala,KOVALAM,SSP,,8449,M,3,1,FALSE,FALSE,21.67,6778,17.38,,,1
AEKL110871,3,0,1965,M. BHASKARANNAIR,,Kerala,VILAPPIL,CON,,21850,M,1,1,FALSE,FALSE,48.85,6197,13.85,,1,1
AEKL110872,3,0,1965,G. KRISHNAN NAIR,,Kerala,VILAPPIL,SSP,,15653,M,2,1,FALSE,FALSE,34.99,11002,24.6,,,1
AEKL110873,3,0,1965,S. NARAYANAN NAIR,,Kerala,VILAPPIL,CPI,,4651,M,3,1,FALSE,FALSE,10.4,2075,4.64,,,1
AEKL110875,3,0,1965,G. CHANDRASEKHARA PILLAI,,Kerala,NEYYATHIKARA,CON,,18003,M,1,1,FALSE,FALSE,38.17,2826,5.99,,1,1
AEKL110877,3,0,1965,WILIAM FLETCHER,,Kerala,NEYYATHIKARA,KC,,9639,M,3,1,FALSE,FALSE,20.44,5296,11.23,,,1
AEKL110879,3,0,1965,N. GAMALIEL,,Kerala,PARASSALA,CON,,25949,M,1,1,FALSE,FALSE,59.95,13703,31.66,,1,1
AEKL110880,3,0,1965,S. SUKUMARAN NAIR,,Kerala,PARASSALA,SSP,,12246,M,2,1,FALSE,FALSE,28.29,7160,16.54,,,1
AEKL110881,3,0,1965,A. MARIA SUSA,,Kerala,PARASSALA,CPI,,5086,M,3,1,FALSE,FALSE,11.75,0,0,,,1
AEKL110942,3,0,1965,P. K. GOPALAKRISHNAN,,Kerala,GURUVAYUR,CPI,,6560,M,3,1,FALSE,FALSE,13.75,5897,12.36,,,1
AEKL110950,3,0,1965,V. T. THOMAS,,Kerala,PALAI,IND,,16248,M,2,1,FALSE,FALSE,32.4,8176,16.3,,,1
AEKL110955,3,0,1965,T. V. THOMAS,,Kerala,ALLEPPEY,CPI,,12693,M,2,1,FALSE,FALSE,25.72,1160,2.35,,,1
AEKL110958,3,0,1965,PRABHAKARAN,,Kerala,KAYAMKULAM,CON,,17179,M,2,1,FALSE,FALSE,32.82,1660,3.17,,,1
AEKL110959,3,0,1965,K. P. RAMAKRISHNAN NAIR,,Kerala,HARIPAD,CON,,23644,M,1,1,FALSE,FALSE,42.41,6466,11.6,,1,1
AEKL111361,3,0,1965,P. GOPALAN,,Kerala,TIRUR,CPI,,2923,M,4,1,FALSE,FALSE,6.24,2056,4.39,,,1
GEKL16711,3,0,1965,H. MANJUNATHA RAO,,Kerala,CALICUT I,CPI,,1384,M,3,1,FALSE,FALSE,2.49,383,0.69,,,1
GEKL16739,3,0,1965,P. T. PUNNOOSE,,Kerala,PUTHUPALLY,CPI,,1703,M,4,1,FALSE,FALSE,3.66,266,0.57,,,1
GEKL19008,3,0,1965,P. D. THOMMEN,,Kerala,POONJAR,IND,,21975,M,1,1,FALSE,FALSE,50.97,7049,16.35,,1,1
GEKL24972,3,0,1965,M. RAMANNA RAI,,Kerala,MANJESHWAR,CPM,,15139,M,2,1,FALSE,FALSE,37.43,10820,26.76,,,1
GEKL25022,3,0,1965,KODIYAN,,Kerala,KUNNATHUNAD,CPI,,4816,M,3,1,FALSE,FALSE,9.97,0,0,,,1
GEKL27551,3,0,1965,SUSEELA GOPALAN,,Kerala,MARARIKULAM,CPM,,22424,F,1,1,FALSE,FALSE,40.38,5717,10.29,,1,1
